ticker,date,price_usd,market_cap
BTC,2011-02-01,0.707510116890707,3740499.86148363
BTC,2011-02-02,0.725434821741671,3840996.02241671
BTC,2011-02-03,0.693898367621274,3679569.56890371
BTC,2011-02-04,0.810958971361777,4308178.98741087
BTC,2011-02-05,0.911671477498539,4851368.60036072
BTC,2011-02-06,0.898,4786564.5
BTC,2011-02-07,0.889421369959088,4749865.88412951
BTC,2011-02-08,0.918,4910198.4
BTC,2011-02-09,1.01605024547049,5444403.63532907
BTC,2011-02-10,0.979652963179427,5258483.21045821
BTC,2011-02-11,1.05406945353594,5667731.45166275
BTC,2011-02-12,1.07870328404442,5810758.85049048
BTC,2011-02-13,1.05,5666535
BTC,2011-02-14,1.07001262419638,5785023.25271773
BTC,2011-02-15,1.05,5688637.5
BTC,2011-02-16,1.031687628872,5601393.22781619
BTC,2011-02-17,1.0399231975453,5658118.12552422
BTC,2011-02-18,0.898955914669784,4900658.16882233
BTC,2011-02-19,0.944028116890707,5153968.70557066
BTC,2011-02-20,0.865,4731074.25
BTC,2011-02-21,0.835747428404442,4579185.5223422
BTC,2011-02-22,0.877041779661017,4814696.25780508
BTC,2011-02-23,0.9,4951665
BTC,2011-02-24,0.989095265926359,5452090.92483928
BTC,2011-02-25,0.914652001753361,5052034.5990846
BTC,2011-02-26,0.958,5304685.5
BTC,2011-02-27,0.895033114552893,4966941.51755555
BTC,2011-02-28,0.860220923436587,4780204.66049094
BTC,2011-03-01,0.921096891876096,5124476.50310806
BTC,2011-03-02,0.9399,5236981.815
BTC,2011-03-03,0.939073383401519,5241109.41377139
BTC,2011-03-04,0.9011,5039131.42
BTC,2011-03-05,0.90784060666277,5089399.83298182
BTC,2011-03-06,0.884770973115138,4972191.6761638
BTC,2011-03-07,0.877583864406779,4941060.43176949
BTC,2011-03-08,0.866071591466979,4884340.65081675
BTC,2011-03-09,0.86,4856979
BTC,2011-03-10,0.920670309760374,5204687.36162186
BTC,2011-03-11,0.88,4980492
BTC,2011-03-12,0.917815513150205,5200939.27759261
BTC,2011-03-13,0.89249,5062649.525
BTC,2011-03-14,0.893924922852133,5075795.1044467
BTC,2011-03-15,0.87224,4957550.488
BTC,2011-03-16,0.851211665692578,4843819.98362362
BTC,2011-03-17,0.82542,4702871.721
BTC,2011-03-18,0.801959208065459,4574014.44116175
BTC,2011-03-19,0.765,4367614.5
BTC,2011-03-20,0.7415,4238525.225
BTC,2011-03-21,0.75897,4344002.7435
BTC,2011-03-22,0.809130292811222,4635912.01266189
BTC,2011-03-23,0.84971,4875083.6685
BTC,2011-03-24,0.872374365867914,5011747.11319287
BTC,2011-03-25,0.88377,5084859.072
BTC,2011-03-26,0.8552,4926379.6
BTC,2011-03-27,0.822,4741008.3
BTC,2011-03-28,0.794740500292227,4590460.86671292
BTC,2011-03-29,0.792509941554646,4584036.00394038
BTC,2011-03-30,0.789706312098189,4573978.95967271
BTC,2011-03-31,0.78461,4552346.4505
BTC,2011-04-01,0.77411,4498237.0935
BTC,2011-04-02,0.78199,4551064.5015
BTC,2011-04-03,0.779,4540479.4
BTC,2011-04-04,0.68,3969500
BTC,2011-04-05,0.715691834599649,4184793.29527107
BTC,2011-04-06,0.74,4332404
BTC,2011-04-07,0.7538,4418737.91
BTC,2011-04-08,0.74999,4402628.7975
BTC,2011-04-09,0.734060517241379,4314844.42337069
BTC,2011-04-10,0.733156820572765,4315874.2556657
BTC,2011-04-11,0.770113933372297,4539706.12013969
BTC,2011-04-12,0.861381607831677,5084735.63103039
BTC,2011-04-13,0.930320058445353,5500703.40956984
BTC,2011-04-14,0.998629766218586,5912587.25685038
BTC,2011-04-15,0.983673136762127,5830722.51815751
BTC,2011-04-16,1.04663285797779,6212969.63988486
BTC,2011-04-17,1.09812209789597,6528500.59030623
BTC,2011-04-18,1.14943331151373,6842059.25845105
BTC,2011-04-19,1.18516222092344,7063863.12725893
BTC,2011-04-20,1.14212598480421,6815579.70801988
BTC,2011-04-21,1.20733887200468,7213608.29245356
BTC,2011-04-22,1.40450508182349,8403996.60759903
BTC,2011-04-23,1.82885230099357,10958848.7580137
BTC,2011-04-24,1.63198421975453,9792394.91379311
BTC,2011-04-25,1.56448363530099,9402390.19979542
BTC,2011-04-26,1.77084089012274,10659842.3642274
BTC,2011-04-27,1.9031759585038,11473867.2186277
BTC,2011-04-28,2.28574446580947,13799039.3400918
BTC,2011-04-29,2.85060509000585,17237608.9792654
BTC,2011-04-30,3.5,21197575
BTC,2011-05-01,3.0942275534775,18767727.8028624
BTC,2011-05-02,3.2,19440800
BTC,2011-05-03,3.36058570368206,20449332.0361905
